type	Bone	Sample	value	diff	variable	comb
Stapes	Petrous	bah037	4.72472459876121	1446.2384126766	Human Proportion (%)	Petrous|Stapes
Stapes	Stapes	bah037	73.0555066392264	1446.2384126766	Human Proportion (%)	Petrous|Stapes
Stapes	Petrous	ksk036	22.8688099044528	207.18288056922	Human Proportion (%)	Petrous|Stapes
Stapes	Stapes	ksk036	70.2490690163972	207.18288056922	Human Proportion (%)	Petrous|Stapes
Stapes	Petrous	ksk038	60.2198673189108	28.8777034330173	Human Proportion (%)	Petrous|Stapes
Stapes	Stapes	ksk038	77.6099820110224	28.8777034330173	Human Proportion (%)	Petrous|Stapes
Stapes	Petrous	ksk039	44.0765280847496	72.8789354885634	Human Proportion (%)	Petrous|Stapes
Stapes	Stapes	ksk039	76.1990325532328	72.8789354885634	Human Proportion (%)	Petrous|Stapes
Stapes	Petrous	ksk046	14.778987809261	293.090927825904	Human Proportion (%)	Petrous|Stapes
Stapes	Stapes	ksk046	58.0948603027013	293.090927825904	Human Proportion (%)	Petrous|Stapes
Stapes	Petrous	ksk060	35.4704757850897	111.371458173908	Human Proportion (%)	Petrous|Stapes
Stapes	Stapes	ksk060	74.974461888167	111.371458173908	Human Proportion (%)	Petrous|Stapes
Stapes	Petrous	ksk086	73.7486041453342	-0.14375720246972	Human Proportion (%)	Petrous|Stapes
Stapes	Stapes	ksk086	73.6425852151544	-0.14375720246972	Human Proportion (%)	Petrous|Stapes
Stapes	Petrous	bah037	10.0599148139685	-88.5615092703742	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Stapes	bah037	1.15070242340404	-88.5615092703742	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Petrous	ksk036	9.28743815769563	-50.6357849259906	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Stapes	ksk036	4.58467094703049	-50.6357849259906	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Petrous	ksk038	4.81893478571076	1.93484238108439	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Stapes	ksk038	4.91217357826151	1.93484238108439	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Petrous	ksk039	7.09414864544338	-39.0724182225504	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Stapes	ksk039	4.32229321736635	-39.0724182225504	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Petrous	ksk046	6.89221111218975	-61.1149324856613	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Stapes	ksk046	2.68004094420574	-61.1149324856613	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Petrous	ksk060	3.06984078216191	-6.66759152859331	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Stapes	ksk060	2.86515633822918	-6.66759152859331	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Petrous	ksk086	2.10630420810219	95.9192738158343	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Stapes	ksk086	4.12665590886617	95.9192738158343	Downsampled Clonality (%)	Petrous|Stapes
Stapes	Petrous	bah037	70.5416	4.12508363859055	Avg Read Length (bp)	Petrous|Stapes
Stapes	Stapes	bah037	73.4515	4.12508363859055	Avg Read Length (bp)	Petrous|Stapes
Stapes	Petrous	ksk036	70.9711	7.61577599896294	Avg Read Length (bp)	Petrous|Stapes
Stapes	Stapes	ksk036	76.3761	7.61577599896294	Avg Read Length (bp)	Petrous|Stapes
Stapes	Petrous	ksk038	72.4333	9.04045514977227	Avg Read Length (bp)	Petrous|Stapes
Stapes	Stapes	ksk038	78.9816	9.04045514977227	Avg Read Length (bp)	Petrous|Stapes
Stapes	Petrous	ksk039	66.0938	14.699865948092	Avg Read Length (bp)	Petrous|Stapes
Stapes	Stapes	ksk039	75.8095	14.699865948092	Avg Read Length (bp)	Petrous|Stapes
Stapes	Petrous	ksk046	55.3555	15.2281164473268	Avg Read Length (bp)	Petrous|Stapes
Stapes	Stapes	ksk046	63.7851	15.2281164473268	Avg Read Length (bp)	Petrous|Stapes
Stapes	Petrous	ksk060	69.3315	7.19600758673906	Avg Read Length (bp)	Petrous|Stapes
Stapes	Stapes	ksk060	74.3206	7.19600758673906	Avg Read Length (bp)	Petrous|Stapes
Stapes	Petrous	ksk086	88.6593	0.129822816106148	Avg Read Length (bp)	Petrous|Stapes
Stapes	Stapes	ksk086	88.7744	0.129822816106148	Avg Read Length (bp)	Petrous|Stapes
Stapes	Petrous	bah037	35.1	1.997150997151	PMD (%)	Petrous|Stapes
Stapes	Stapes	bah037	35.801	1.997150997151	PMD (%)	Petrous|Stapes
Stapes	Petrous	ksk036	37.679	-2.52660633243983	PMD (%)	Petrous|Stapes
Stapes	Stapes	ksk036	36.727	-2.52660633243983	PMD (%)	Petrous|Stapes
Stapes	Petrous	ksk038	31.779	-2.11145725164417	PMD (%)	Petrous|Stapes
Stapes	Stapes	ksk038	31.108	-2.11145725164417	PMD (%)	Petrous|Stapes
Stapes	Petrous	ksk039	34.15	-9.14494875549047	PMD (%)	Petrous|Stapes
Stapes	Stapes	ksk039	31.027	-9.14494875549047	PMD (%)	Petrous|Stapes
Stapes	Petrous	ksk046	42.177	-4.31751902695782	PMD (%)	Petrous|Stapes
Stapes	Stapes	ksk046	40.356	-4.31751902695782	PMD (%)	Petrous|Stapes
Stapes	Petrous	ksk060	35.445	-11.2709832134293	PMD (%)	Petrous|Stapes
Stapes	Stapes	ksk060	31.45	-11.2709832134293	PMD (%)	Petrous|Stapes
Stapes	Petrous	ksk086	19.108	0.293070965040826	PMD (%)	Petrous|Stapes
Stapes	Stapes	ksk086	19.164	0.293070965040826	PMD (%)	Petrous|Stapes
Stapes	Petrous	bah037	NA	NA	Cont. Est.	Petrous|Stapes
Stapes	Stapes	bah037	0.9804384	NA	Cont. Est.	Petrous|Stapes
Stapes	Petrous	ksk036	0.9236759	4.44954772556045	Cont. Est.	Petrous|Stapes
Stapes	Stapes	ksk036	0.9647753	4.44954772556045	Cont. Est.	Petrous|Stapes
Stapes	Petrous	ksk038	0.9667291	-1.2147043054771	Cont. Est.	Petrous|Stapes
Stapes	Stapes	ksk038	0.9549862	-1.2147043054771	Cont. Est.	Petrous|Stapes
Stapes	Petrous	ksk039	0.9491195	1.6496552857675	Cont. Est.	Petrous|Stapes
